PERSONID,RECORDACTIVITYDATE,TESTSCORE,TESTSCORETYPERAW,TESTDATE
31132,12/14/2007 15:35:09,75,G01,06/02/2005 22:38:26
31132,12/14/2007 15:35:09,80,G05,06/02/2005 22:38:26
31132,12/14/2007 15:35:09,96,G02,06/02/2005 22:38:26
31132,12/14/2007 15:35:09,71,G04,06/02/2005 22:38:26
31133,11/30/2005 00:00:00,30,A05,12/01/2003 00:00:00
31133,11/30/2005 00:02:12,1320,SATT,12/01/2003 00:00:00
31136,11/30/2005 00:00:00,27,A05,11/30/2005 00:00:00
31136,11/30/2005 07:46:40,1200,SATT,11/30/2005 00:00:00
31137,11/30/2005 00:00:00,29,A05,04/15/2005 00:00:00
31137,11/30/2005 08:28:30,1280,SATT,04/15/2005 00:00:00
31138,11/30/2005 00:00:00,29,A05,04/15/2005 00:00:00
31138,11/30/2005 09:10:05,1280,SATT,04/15/2005 00:00:00
31139,12/14/2007 15:35:09,34,A01,11/30/2005 10:39:47
31139,12/14/2007 15:35:09,26,A02,11/30/2005 10:39:47
31139,12/14/2007 15:35:09,20,A04,11/30/2005 10:39:47
31139,12/14/2007 15:35:09,30,A03,11/30/2005 10:39:47
31139,12/14/2007 15:35:09,1591,SATC,02/28/2006 10:39:47
31139,12/14/2007 15:35:09,588,S01,02/28/2006 10:39:47
31139,12/14/2007 15:35:09,410,S02,02/28/2006 10:39:47
31139,12/14/2007 15:35:09,593,S07,02/28/2006 10:39:47
31139,12/14/2007 15:35:09,27,A05,11/30/2005 10:39:47
31140,12/14/2007 15:35:09,23,A04,11/30/2005 10:39:48
31140,12/14/2007 15:35:09,30,A03,11/30/2005 10:39:48
31140,12/14/2007 15:35:09,29,A02,11/30/2005 10:39:48
31140,12/14/2007 15:35:09,19,A01,11/30/2005 10:39:48
31140,12/14/2007 15:35:09,25,A05,11/30/2005 10:39:48
31141,12/14/2007 15:35:09,627,S01,11/30/2005 10:39:49
31141,12/14/2007 15:35:09,1820,SATC,11/30/2005 10:39:49
31141,12/14/2007 15:35:09,743,S07,11/30/2005 10:39:49
31141,12/14/2007 15:35:09,450,S02,11/30/2005 10:39:49
31143,09/19/2006 00:00:00,55,COMW,09/19/2006 00:00:00
31143,09/19/2006 00:00:00,55,COMM,09/19/2006 00:00:00
31146,12/14/2007 15:35:09,31,A04,12/01/2005 00:00:00
31146,12/14/2007 15:35:09,26,A03,12/01/2005 00:00:00
31146,12/14/2007 15:35:09,27,A05,12/01/2005 00:00:00
31146,12/14/2007 15:35:09,694,S01,03/01/2006 00:00:00
31146,12/14/2007 15:35:09,27,A02,12/01/2005 00:00:00
31146,12/14/2007 15:35:09,530,S07,03/01/2006 00:00:00
31146,12/14/2007 15:35:09,1961,SATC,03/01/2006 00:00:00
31146,12/14/2007 15:35:09,24,A01,12/01/2005 00:00:00
31146,12/14/2007 15:35:09,737,S02,03/01/2006 00:00:00
31147,12/14/2007 15:35:09,23,A01,12/01/2005 15:36:24
31147,12/14/2007 15:35:09,21,A02,12/01/2005 15:36:24
31147,12/14/2007 15:35:09,23,A05,12/01/2005 15:36:24
31147,12/14/2007 15:35:09,19,A03,12/01/2005 15:36:24
31147,12/14/2007 15:35:09,30,A04,12/01/2005 15:36:24
31148,12/14/2007 15:35:09,555,S01,12/02/2005 08:58:51
31148,12/14/2007 15:35:09,1760,SATC,12/02/2005 08:58:51
31148,12/14/2007 15:35:09,725,S07,12/02/2005 08:58:51
31148,12/14/2007 15:35:09,480,S02,12/02/2005 08:58:51
31149,12/14/2007 15:35:09,20,A01,12/02/2005 00:00:00
31149,12/14/2007 15:35:09,29,A02,12/02/2005 00:00:00
31149,12/14/2007 15:35:09,35,A04,12/02/2005 00:00:00
31149,12/14/2007 15:35:09,32,A03,12/02/2005 00:00:00
31149,12/14/2007 15:35:09,1868,SATC,03/02/2006 00:00:00
31149,12/14/2007 15:35:09,703,S01,03/02/2006 00:00:00
31149,12/14/2007 15:35:09,727,S02,03/02/2006 00:00:00
31149,12/14/2007 15:35:09,438,S07,03/02/2006 00:00:00
31149,12/14/2007 15:35:09,29,A05,12/02/2005 00:00:00
31150,12/14/2007 15:35:09,19,A01,06/05/2005 11:55:08
31150,12/14/2007 15:35:09,22,A02,06/05/2005 11:55:08
31150,12/14/2007 15:35:09,24,A05,06/05/2005 11:55:08
31150,12/14/2007 15:35:09,34,A03,06/05/2005 11:55:08
31150,12/14/2007 15:35:09,23,A04,06/05/2005 11:55:08
31151,12/14/2007 15:35:09,549,S01,12/02/2005 00:00:00
31151,12/14/2007 15:35:09,1505,SATC,12/02/2005 00:00:00
31151,12/14/2007 15:35:09,530,S07,12/02/2005 00:00:00
31151,12/14/2007 15:35:09,426,S02,12/02/2005 00:00:00
31154,12/14/2007 15:35:09,1920,SATC,09/06/2005 13:54:02
31154,12/14/2007 15:35:09,27,A01,06/08/2005 13:54:02
31154,12/14/2007 15:35:09,26,A02,06/08/2005 13:54:02
31154,12/14/2007 15:35:09,26,A04,06/08/2005 13:54:02
31154,12/14/2007 15:35:09,747,S07,09/06/2005 13:54:02
31154,12/14/2007 15:35:09,27,A05,06/08/2005 13:54:02
31154,12/14/2007 15:35:09,574,S01,09/06/2005 13:54:02
31154,12/14/2007 15:35:09,599,S02,09/06/2005 13:54:02
31154,12/14/2007 15:35:09,32,A03,06/08/2005 13:54:02
31155,12/14/2007 15:35:09,33,A01,12/06/2005 00:00:00
31155,12/14/2007 15:35:09,35,A02,12/06/2005 00:00:00
31155,12/14/2007 15:35:09,30,A05,12/06/2005 00:00:00
31155,12/14/2007 15:35:09,33,A03,12/06/2005 00:00:00
31155,12/14/2007 15:35:09,19,A04,12/06/2005 00:00:00
31157,12/14/2007 15:35:09,647,S01,12/06/2005 14:18:40
31157,12/14/2007 15:35:09,1712,SATC,12/06/2005 14:18:40
31157,12/14/2007 15:35:09,403,S07,12/06/2005 14:18:40
31157,12/14/2007 15:35:09,662,S02,12/06/2005 14:18:40
31158,12/14/2007 15:35:09,930,LSAT,06/09/2005 18:19:34
31161,12/07/2005 00:00:00,23,A05,11/11/2004 00:00:00
31161,12/07/2005 00:00:00,045,ACCU,06/06/2005 00:00:00
31161,12/07/2005 10:27:59,0980,SATT,11/11/2004 00:00:00
31162,12/14/2007 15:35:09,23,A01,06/11/2005 16:27:32
31162,12/14/2007 15:35:09,27,A02,06/11/2005 16:27:32
31162,12/14/2007 15:35:09,28,A04,06/11/2005 16:27:32
31162,12/14/2007 15:35:09,30,A03,06/11/2005 16:27:32
31162,12/14/2007 15:35:09,1901,SATC,09/09/2005 16:27:32
31162,12/14/2007 15:35:09,592,S01,09/09/2005 16:27:32
31162,12/14/2007 15:35:09,748,S02,09/09/2005 16:27:32
31162,12/14/2007 15:35:09,561,S07,09/09/2005 16:27:32
31162,12/14/2007 15:35:09,27,A05,06/11/2005 16:27:32
31163,12/09/2005 00:00:00,28,A05,04/15/2005 00:00:00
31163,12/09/2005 12:53:17,1240,SATT,04/15/2005 00:00:00
31164,12/14/2007 15:35:09,20,A01,06/12/2005 15:29:22
31164,12/14/2007 15:35:09,32,A02,06/12/2005 15:29:22
31164,12/14/2007 15:35:09,26,A05,06/12/2005 15:29:22
31164,12/14/2007 15:35:09,24,A03,06/12/2005 15:29:22
31164,12/14/2007 15:35:09,29,A04,06/12/2005 15:29:22
31165,12/14/2007 15:35:09,464,S01,06/13/2005 13:44:20
31165,12/14/2007 15:35:09,1731,SATC,06/13/2005 13:44:20
31165,12/14/2007 15:35:09,751,S07,06/13/2005 13:44:20
31165,12/14/2007 15:35:09,516,S02,06/13/2005 13:44:20
31166,12/14/2007 15:35:09,33,A01,06/13/2005 13:54:36
31166,12/14/2007 15:35:09,32,A02,06/13/2005 13:54:36
31166,12/14/2007 15:35:09,22,A04,06/13/2005 13:54:36
31166,12/14/2007 15:35:09,24,A03,06/13/2005 13:54:36
31166,12/14/2007 15:35:09,1796,SATC,09/11/2005 13:54:36
31166,12/14/2007 15:35:09,708,S01,09/11/2005 13:54:36
31166,12/14/2007 15:35:09,442,S02,09/11/2005 13:54:36
31166,12/14/2007 15:35:09,646,S07,09/11/2005 13:54:36
31166,12/14/2007 15:35:09,27,A05,06/13/2005 13:54:36
31168,12/14/2007 15:35:09,481,GR01,06/19/2005 10:04:21
31168,12/14/2007 15:35:09,777,GR02,06/19/2005 10:04:21
31168,12/14/2007 15:35:09,430,GREC,06/19/2005 10:04:21
31168,12/14/2007 15:35:09,461,GR03,06/19/2005 10:04:21
31168,12/14/2007 15:35:09,3,GR05,06/19/2005 10:04:21
31170,12/20/2005 00:00:00,29,A05,04/15/2005 00:00:00
31170,12/20/2005 11:58:32,1280,SATT,04/15/2005 00:00:00
31171,12/20/2005 00:00:00,28,A05,01/15/2005 00:00:00
31171,12/20/2005 12:05:41,1240,SATT,01/15/2005 00:00:00
31174,12/14/2007 15:41:25,732,S01,01/04/2006 09:07:54
31174,12/14/2007 15:41:25,1961,SATC,01/04/2006 09:07:54
31174,12/14/2007 15:41:25,658,S07,01/04/2006 09:07:54
31174,12/14/2007 15:41:25,571,S02,01/04/2006 09:07:54
31175,12/14/2007 15:35:09,34,A01,07/08/2005 09:08:48
31175,12/14/2007 15:35:09,35,A02,07/08/2005 09:08:48
31175,12/14/2007 15:35:09,30,A05,07/08/2005 09:08:48
31175,12/14/2007 15:35:09,29,A03,07/08/2005 09:08:48
31175,12/14/2007 15:35:09,22,A04,07/08/2005 09:08:48
31176,12/14/2007 15:35:09,724,S01,07/08/2005 09:18:34
31176,12/14/2007 15:35:09,649,S02,07/08/2005 09:18:34
31176,12/14/2007 15:35:09,453,S07,07/08/2005 09:18:34
31176,12/14/2007 15:35:10,1826,SATC,07/08/2005 09:18:34
31177,12/14/2007 15:35:10,29,A01,07/08/2005 14:11:48
31177,12/14/2007 15:35:10,30,A02,07/08/2005 14:11:48
31177,12/14/2007 15:35:10,34,A04,07/08/2005 14:11:48
31177,12/14/2007 15:35:10,32,A03,07/08/2005 14:11:48
31177,12/14/2007 15:35:10,1902,SATC,10/06/2005 14:11:48
31177,12/14/2007 15:35:10,713,S01,10/06/2005 14:11:48
31177,12/14/2007 15:35:10,710,S02,10/06/2005 14:11:48
31177,12/14/2007 15:35:10,479,S07,10/06/2005 14:11:48
31177,12/14/2007 15:35:10,31,A05,07/08/2005 14:11:48
31178,12/14/2007 15:35:10,20,A01,07/08/2005 10:53:50
31178,12/14/2007 15:35:10,20,A02,07/08/2005 10:53:50
31178,12/14/2007 15:35:10,25,A05,07/08/2005 10:53:50
31178,12/14/2007 15:35:10,28,A03,07/08/2005 10:53:50
31178,12/14/2007 15:35:10,33,A04,07/08/2005 10:53:50
31179,12/14/2007 15:35:10,429,S01,07/08/2005 12:21:36
31179,12/14/2007 15:35:10,1489,SATC,07/08/2005 12:21:36
31179,12/14/2007 15:35:10,535,S07,07/08/2005 12:21:36
31179,12/14/2007 15:35:10,525,S02,07/08/2005 12:21:36
31180,12/14/2007 15:35:10,780,S01,10/06/2005 12:37:51
31180,12/14/2007 15:35:10,493,S02,10/06/2005 12:37:51
31180,12/14/2007 15:35:10,744,S07,10/06/2005 12:37:51
31180,12/14/2007 15:35:10,2017,SATC,10/06/2005 12:37:51
31180,12/14/2007 15:35:10,26,A05,07/08/2005 12:37:51
31180,12/14/2007 15:35:10,19,A02,07/08/2005 12:37:51
31180,12/14/2007 15:35:10,23,A04,07/08/2005 12:37:51
31180,12/14/2007 15:35:10,33,A03,07/08/2005 12:37:51
31180,12/14/2007 15:35:10,30,A01,07/08/2005 12:37:51
31181,12/14/2007 15:35:10,35,A01,07/08/2005 14:19:48
31181,12/14/2007 15:35:10,19,A02,07/08/2005 14:19:48
31181,12/14/2007 15:35:10,26,A05,07/08/2005 14:19:48
31181,12/14/2007 15:35:10,25,A03,07/08/2005 14:19:48
31181,12/14/2007 15:35:10,26,A04,07/08/2005 14:19:48
31183,12/14/2007 15:35:10,630,S01,07/08/2005 15:26:13
31183,12/14/2007 15:35:10,1856,SATC,07/08/2005 15:26:13
31183,12/14/2007 15:35:10,455,S07,07/08/2005 15:26:13
31183,12/14/2007 15:35:10,771,S02,07/08/2005 15:26:13
31185,12/14/2007 15:35:10,30,A01,07/09/2005 15:22:01
31185,12/14/2007 15:35:10,18,A02,07/09/2005 15:22:01
31185,12/14/2007 15:35:10,22,A04,07/09/2005 15:22:01
31185,12/14/2007 15:35:10,25,A03,07/09/2005 15:22:01
31185,12/14/2007 15:35:10,1805,SATC,10/07/2005 15:22:01
31185,12/14/2007 15:35:10,531,S01,10/07/2005 15:22:01
31185,12/14/2007 15:35:10,496,S02,10/07/2005 15:22:01
31185,12/14/2007 15:35:10,778,S07,10/07/2005 15:22:01
31185,12/14/2007 15:35:10,23,A05,07/09/2005 15:22:01
31186,12/14/2007 15:35:10,19,A01,07/10/2005 11:46:45
31186,12/14/2007 15:35:10,29,A02,07/10/2005 11:46:45
31186,12/14/2007 15:35:10,25,A05,07/10/2005 11:46:45
31186,12/14/2007 15:35:10,35,A03,07/10/2005 11:46:45
31186,12/14/2007 15:35:10,18,A04,07/10/2005 11:46:45
31187,12/14/2007 15:35:10,555,S01,07/13/2005 10:51:37
31187,12/14/2007 15:35:10,1579,SATC,07/13/2005 10:51:37
31187,12/14/2007 15:35:10,550,S07,07/13/2005 10:51:37
31187,12/14/2007 15:35:10,474,S02,07/13/2005 10:51:37
31188,12/14/2007 15:35:10,21,A01,07/13/2005 11:00:33
31188,12/14/2007 15:35:10,34,A02,07/13/2005 11:00:33
31188,12/14/2007 15:35:10,27,A04,07/13/2005 11:00:33
31188,12/14/2007 15:35:10,29,A03,07/13/2005 11:00:33
31188,12/14/2007 15:35:10,1794,SATC,10/11/2005 11:00:33
31188,12/14/2007 15:35:10,521,S01,10/11/2005 11:00:33
31188,12/14/2007 15:35:10,578,S02,10/11/2005 11:00:33
31188,12/14/2007 15:35:10,695,S07,10/11/2005 11:00:33
31188,12/14/2007 15:35:10,27,A05,07/13/2005 11:00:33
31189,12/14/2007 15:35:10,34,A01,01/10/2006 00:00:00
31189,12/14/2007 15:35:10,26,A02,01/10/2006 00:00:00
31189,12/14/2007 15:35:10,29,A05,01/10/2006 00:00:00
31189,12/14/2007 15:35:10,31,A03,01/10/2006 00:00:00
31189,12/14/2007 15:35:10,27,A04,01/10/2006 00:00:00
31192,12/14/2007 15:35:10,685,S01,01/11/2006 00:00:00
31192,12/14/2007 15:35:10,1740,SATC,01/11/2006 00:00:00
31192,12/14/2007 15:35:10,415,S07,01/11/2006 00:00:00
31192,12/14/2007 15:35:10,640,S02,01/11/2006 00:00:00
31198,12/14/2007 15:35:10,632,S07,10/19/2005 17:19:18
31198,12/14/2007 15:35:10,1937,SATC,10/19/2005 17:19:18
31198,12/14/2007 15:35:10,22,A01,07/21/2005 17:19:18
31198,12/14/2007 15:35:10,32,A02,07/21/2005 17:19:18
31198,12/14/2007 15:35:10,585,S02,10/19/2005 17:19:18
31198,12/14/2007 15:35:10,26,A03,07/21/2005 17:19:18
31198,12/14/2007 15:35:10,28,A05,07/21/2005 17:19:18
31198,12/14/2007 15:35:10,720,S01,10/19/2005 17:19:18
31198,12/14/2007 15:35:10,34,A04,07/21/2005 17:19:18
31199,12/14/2007 15:35:10,26,A01,07/23/2005 15:49:08
31199,12/14/2007 15:35:10,19,A02,07/23/2005 15:49:08
31199,12/14/2007 15:35:10,23,A05,07/23/2005 15:49:08
31199,12/14/2007 15:35:10,20,A03,07/23/2005 15:49:08
31199,12/14/2007 15:35:10,27,A04,07/23/2005 15:49:08
31201,12/14/2007 15:35:10,787,S01,07/27/2005 14:27:35
31201,12/14/2007 15:35:10,1985,SATC,07/27/2005 14:27:35
31201,12/14/2007 15:35:10,648,S07,07/27/2005 14:27:35
31201,12/14/2007 15:35:10,550,S02,07/27/2005 14:27:35
31202,12/14/2007 15:35:10,26,A01,07/29/2005 15:08:03
31202,12/14/2007 15:35:10,26,A02,07/29/2005 15:08:03
31202,12/14/2007 15:35:10,22,A04,07/29/2005 15:08:03
31202,12/14/2007 15:35:10,20,A03,07/29/2005 15:08:03
31202,12/14/2007 15:35:10,1653,SATC,10/27/2005 15:08:03
31202,12/14/2007 15:35:10,465,S01,10/27/2005 15:08:03
31202,12/14/2007 15:35:10,561,S02,10/27/2005 15:08:03
31202,12/14/2007 15:35:10,627,S07,10/27/2005 15:08:03
31202,12/14/2007 15:35:10,23,A05,07/29/2005 15:08:03
31203,01/26/2006 00:00:00,34,A05,11/11/2005 00:00:00
31203,01/26/2006 00:00:00,35,A02,11/11/2005 00:00:00
31203,01/26/2006 00:00:00,33,A01,11/11/2005 00:00:00
31203,01/26/2006 14:07:46,1510,SATT,11/11/2005 00:00:00
31204,12/14/2007 15:35:10,25,A01,07/30/2005 14:01:35
31204,12/14/2007 15:35:10,34,A02,07/30/2005 14:01:35
31204,12/14/2007 15:35:10,26,A05,07/30/2005 14:01:35
31204,12/14/2007 15:35:10,27,A03,07/30/2005 14:01:35
31204,12/14/2007 15:35:10,20,A04,07/30/2005 14:01:35
31205,12/14/2007 15:35:10,569,S01,07/30/2005 16:38:40
31205,12/14/2007 15:35:10,1810,SATC,07/30/2005 16:38:40
31205,12/14/2007 15:35:10,578,S07,07/30/2005 16:38:40
31205,12/14/2007 15:35:10,663,S02,07/30/2005 16:38:40
31206,12/14/2007 15:35:10,31,A01,01/21/2006 14:53:56
31206,12/14/2007 15:35:10,33,A02,01/21/2006 14:53:56
31206,12/14/2007 15:35:10,26,A04,01/21/2006 14:53:56
31206,12/14/2007 15:35:10,28,A03,01/21/2006 14:53:56
31206,12/14/2007 15:35:10,1789,SATC,04/21/2006 14:53:56
31206,12/14/2007 15:35:10,425,S01,04/21/2006 14:53:56
31206,12/14/2007 15:35:10,748,S02,04/21/2006 14:53:56
31206,12/14/2007 15:35:10,616,S07,04/21/2006 14:53:56
31206,12/14/2007 15:35:10,29,A05,01/21/2006 14:53:56
31207,12/14/2007 15:35:10,26,A01,08/03/2005 15:37:05
31207,12/14/2007 15:35:10,27,A02,08/03/2005 15:37:05
31207,12/14/2007 15:35:10,28,A05,08/03/2005 15:37:05
31207,12/14/2007 15:35:10,33,A03,08/03/2005 15:37:05
31207,12/14/2007 15:35:10,27,A04,08/03/2005 15:37:05
31208,12/14/2007 15:35:10,771,S02,08/03/2005 15:40:20
31208,12/14/2007 15:35:10,509,S01,08/03/2005 15:40:20
31208,12/14/2007 15:35:10,1811,SATC,08/03/2005 15:40:20
31208,12/14/2007 15:35:10,531,S07,08/03/2005 15:40:20
31209,01/31/2006 00:00:00,35,A05,11/11/2005 00:00:00
31209,01/31/2006 00:00:00,750,S02,11/11/2005 00:00:00
31209,01/31/2006 00:00:00,800,S01,11/11/2005 00:00:00
31209,01/31/2006 10:49:53,1560,SATT,11/11/2005 00:00:00
31212,12/14/2007 15:35:10,34,A01,08/05/2005 15:26:06
31212,12/14/2007 15:35:10,34,A02,08/05/2005 15:26:06
31212,12/14/2007 15:35:10,22,A04,08/05/2005 15:26:06
31212,12/14/2007 15:35:10,31,A03,08/05/2005 15:26:06
31212,12/14/2007 15:35:10,1979,SATC,11/03/2005 15:26:06
31212,12/14/2007 15:35:10,770,S01,11/03/2005 15:26:06
31212,12/14/2007 15:35:10,786,S02,11/03/2005 15:26:06
31212,12/14/2007 15:35:10,423,S07,11/03/2005 15:26:06
31212,12/14/2007 15:35:10,30,A05,08/05/2005 15:26:06
31214,12/14/2007 15:41:25,24,A01,02/02/2006 14:05:28
31214,12/14/2007 15:41:25,35,A02,02/02/2006 14:05:28
31214,12/14/2007 15:41:25,19,A04,02/02/2006 14:05:28
31214,12/14/2007 15:41:25,19,A03,02/02/2006 14:05:28
31214,12/14/2007 15:41:25,1714,SATC,05/03/2006 14:05:28
31214,12/14/2007 15:41:25,422,S01,05/03/2006 14:05:28
31214,12/14/2007 15:41:25,645,S02,05/03/2006 14:05:28
31214,12/14/2007 15:41:25,647,S07,05/03/2006 14:05:28
31214,12/14/2007 15:41:25,24,A05,02/02/2006 14:05:28
31215,02/03/2006 00:00:00,600,S02,02/03/2006 00:00:00
31215,02/03/2006 00:00:00,1300,SATC,02/01/2006 00:00:00
31215,02/03/2006 00:00:00,1220,SATC,02/03/2006 00:00:00
31215,02/03/2006 00:00:00,620,S01,02/03/2006 00:00:00
31215,02/03/2006 15:23:48,27,A05,02/03/2006 00:00:00
31215,02/03/2006 16:07:59,29,A05,02/01/2006 00:00:00
31215,02/13/2006 00:00:00,2,MPLA,02/13/2006 00:00:00
31215,02/13/2006 00:00:00,2,WPLA,02/13/2006 00:00:00
31216,02/03/2006 00:00:00,1180,SATC,03/01/2005 00:00:00
31216,02/03/2006 00:00:00,580,S02,03/01/2005 00:00:00
31216,02/03/2006 00:00:00,600,S01,03/01/2005 00:00:00
31216,02/03/2006 16:14:10,26,A05,03/01/2005 00:00:00
31217,02/03/2006 00:00:00,580,S01,03/01/2005 00:00:00
31217,02/03/2006 00:00:00,600,S02,03/01/2005 00:00:00
31217,02/03/2006 00:00:00,1180,SATC,03/01/2005 00:00:00
31217,02/03/2006 16:44:46,26,A05,03/01/2005 00:00:00
31219,12/14/2007 15:35:10,29,A01,08/12/2005 17:02:58
31219,12/14/2007 15:35:10,34,A02,08/12/2005 17:02:58
31219,12/14/2007 15:35:10,26,A05,08/12/2005 17:02:58
31219,12/14/2007 15:35:10,19,A03,08/12/2005 17:02:58
31219,12/14/2007 15:35:10,23,A04,08/12/2005 17:02:58
31220,12/14/2007 15:35:10,605,S01,08/14/2005 12:37:29
31220,12/14/2007 15:35:10,1786,SATC,08/14/2005 12:37:29
31220,12/14/2007 15:35:10,703,S07,08/14/2005 12:37:29
31220,12/14/2007 15:35:10,478,S02,08/14/2005 12:37:29
31221,12/14/2007 15:35:10,22,A01,08/14/2005 14:15:04
31221,12/14/2007 15:35:10,28,A02,08/14/2005 14:15:04
31221,12/14/2007 15:35:10,34,A04,08/14/2005 14:15:04
31221,12/14/2007 15:35:10,27,A03,08/14/2005 14:15:04
31221,12/14/2007 15:35:10,1379,SATC,11/12/2005 14:15:04
31221,12/14/2007 15:35:10,532,S01,11/12/2005 14:15:04
31221,12/14/2007 15:35:10,422,S02,11/12/2005 14:15:04
31221,12/14/2007 15:35:10,425,S07,11/12/2005 14:15:04
31221,12/14/2007 15:35:10,27,A05,08/14/2005 14:15:04
31222,12/14/2007 15:41:25,32,A01,02/10/2006 14:34:04
31222,12/14/2007 15:41:25,29,A02,02/10/2006 14:34:04
31222,12/14/2007 15:41:25,26,A05,02/10/2006 14:34:04
31222,12/14/2007 15:41:25,20,A03,02/10/2006 14:34:04
31222,12/14/2007 15:41:25,24,A04,02/10/2006 14:34:04
31223,12/14/2007 15:35:10,20,A01,08/15/2005 09:15:43
31223,12/14/2007 15:35:10,25,A02,08/15/2005 09:15:43
31223,12/14/2007 15:35:10,25,A05,08/15/2005 09:15:43
31223,12/14/2007 15:35:10,25,A03,08/15/2005 09:15:43
31223,12/14/2007 15:35:10,30,A04,08/15/2005 09:15:43
31224,02/28/2006 00:00:00,1400,GREC,02/28/2006 00:00:00
31224,09/12/2011 20:56:39,25,A05,04/01/2006 00:00:00
31225,02/28/2006 00:00:00,1430,GREC,02/28/2006 00:00:00
31225,09/12/2011 20:59:30,26,A02,04/01/2006 00:00:00
31225,09/12/2011 20:59:30,26,A05,04/01/2006 00:00:00
31225,09/12/2011 20:59:30,26,A01,04/01/2006 00:00:00
31226,02/28/2006 00:00:00,1440,GREC,02/28/2006 00:00:00
31226,09/12/2011 21:02:11,28,A02,04/01/2006 00:00:00
31226,09/12/2011 21:02:11,28,A05,04/01/2006 00:00:00
31226,09/12/2011 21:02:11,28,A01,04/01/2006 00:00:00
31227,12/14/2007 15:35:10,534,S07,01/22/2006 11:09:06
31227,12/14/2007 15:35:10,458,S02,01/22/2006 11:09:06
31227,12/14/2007 15:35:10,750,S01,01/22/2006 11:09:06
31227,12/14/2007 15:35:10,1742,SATC,01/22/2006 11:09:06
31228,02/28/2006 00:00:00,1290,GREC,12/10/2005 00:00:00
31229,12/14/2007 15:35:10,31,A01,02/15/2006 00:00:00
31229,12/14/2007 15:35:10,20,A02,02/15/2006 00:00:00
31229,12/14/2007 15:35:10,26,A04,02/15/2006 00:00:00
31229,12/14/2007 15:35:10,19,A03,02/15/2006 00:00:00
31229,12/14/2007 15:35:10,1715,SATC,05/16/2006 00:00:00
31229,12/14/2007 15:35:10,528,S01,05/16/2006 00:00:00
31229,12/14/2007 15:35:10,722,S02,05/16/2006 00:00:00
31229,12/14/2007 15:35:10,465,S07,05/16/2006 00:00:00
31229,12/14/2007 15:35:10,24,A05,02/15/2006 00:00:00
31230,02/15/2006 00:00:00,32,A05,02/15/2006 00:00:00
31230,02/15/2006 10:12:06,1410,SATT,02/15/2006 00:00:00
31231,12/14/2007 15:35:10,33,A01,08/19/2005 10:25:42
31231,12/14/2007 15:35:10,20,A02,08/19/2005 10:25:42
31231,12/14/2007 15:35:10,25,A05,08/19/2005 10:25:42
31231,12/14/2007 15:35:10,19,A03,08/19/2005 10:25:42
31231,12/14/2007 15:35:10,28,A04,08/19/2005 10:25:42
31234,12/14/2007 15:35:10,632,S01,02/15/2006 19:24:49
31234,12/14/2007 15:35:10,2081,SATC,02/15/2006 19:24:49
31234,12/14/2007 15:35:10,739,S07,02/15/2006 19:24:49
31234,12/14/2007 15:35:10,710,S02,02/15/2006 19:24:49
31236,12/14/2007 15:35:10,24,A01,09/25/2006 12:59:56
31236,12/14/2007 15:35:10,30,A02,09/25/2006 12:59:56
31236,12/14/2007 15:35:10,24,A04,09/25/2006 12:59:56
31236,12/14/2007 15:35:10,23,A03,09/25/2006 12:59:56
31236,12/14/2007 15:35:10,1961,SATC,12/24/2006 12:59:56
31236,12/14/2007 15:35:10,581,S01,12/24/2006 12:59:56
31236,12/14/2007 15:35:10,581,S02,12/24/2006 12:59:56
31236,12/14/2007 15:35:10,799,S07,12/24/2006 12:59:56
31236,12/14/2007 15:35:10,25,A05,09/25/2006 12:59:56
31237,12/14/2007 15:35:10,32,A01,02/16/2006 11:46:52
31237,12/14/2007 15:35:10,28,A02,02/16/2006 11:46:52
31237,12/14/2007 15:35:10,29,A05,02/16/2006 11:46:52
31237,12/14/2007 15:35:10,25,A03,02/16/2006 11:46:52
31237,12/14/2007 15:35:10,34,A04,02/16/2006 11:46:52
31238,12/14/2007 15:35:11,540,S01,02/17/2006 10:12:09
31238,12/14/2007 15:35:11,1477,SATC,02/17/2006 10:12:09
31238,12/14/2007 15:35:11,530,S07,02/17/2006 10:12:09
31238,12/14/2007 15:35:11,407,S02,02/17/2006 10:12:09
31239,02/17/2006 00:00:00,500,S01,02/17/2006 00:00:00
31239,02/17/2006 00:00:00,600,S02,02/17/2006 00:00:00
31239,02/17/2006 00:00:00,1100,SATC,02/17/2006 00:00:00
31239,02/17/2006 10:18:58,26,A05,02/17/2006 00:00:00
31240,12/14/2007 15:35:11,32,A01,02/17/2006 00:00:00
31240,12/14/2007 15:35:11,24,A02,02/17/2006 00:00:00
31240,12/14/2007 15:35:11,19,A04,02/17/2006 00:00:00
31240,12/14/2007 15:35:11,30,A03,02/17/2006 00:00:00
31240,12/14/2007 15:35:11,1742,SATC,05/18/2006 00:00:00
31240,12/14/2007 15:35:11,447,S01,05/18/2006 00:00:00
31240,12/14/2007 15:35:11,607,S02,05/18/2006 00:00:00
31240,12/14/2007 15:35:11,688,S07,05/18/2006 00:00:00
31240,12/14/2007 15:35:11,26,A05,02/17/2006 00:00:00
31241,12/14/2007 15:35:11,22,A01,02/17/2006 13:50:20
31241,12/14/2007 15:35:11,20,A02,02/17/2006 13:50:20
31241,12/14/2007 15:35:11,22,A05,02/17/2006 13:50:20
